aqm30_file,TP,FP,FN,TN,ACC,CE,OE,B,DC,TPR,TNR,PPV,NPV,CSI,start_dt,end_dt,reference_area_km2,model_area_km2,orbita_ponto
aq30m/LS8_AQM_222_067_20190923_0107.zip,1425.2269543800671,2494.7277819506776,259.22306571779217,4608.822197951464,0.6866237087313986,0.636417497076983,0.15389181194152166,2.3271422063938783,0.508609572763367,0.8461081880584783,0.6488054861289164,0.36358250292301697,0.9467500707825373,0.3410304662513889,2019-09-07 14:00:00-03:00,2019-09-23 14:00:00-03:00,542.3733,1187.7120953366446,222/067
aq30m/LS8_AQM_220_074_20200927_0114.zip,2001.307780653799,3436.185815590261,209.39323754853575,6781.113166207404,0.7066640607387514,0.631942963199773,0.09471802646511063,2.459624142510976,0.5233412279738808,0.9052819735348895,0.6636894132478751,0.3680570368002271,0.970046055971563,0.35440904688888003,2020-09-11 14:00:00-03:00,2020-09-27 14:00:00-03:00,698.9607000000001,1572.239855145114,220/074
aq30m/LS8_AQM_226_071_20191005_0111.zip,511.77642200637695,665.7923101128749,184.2375204729014,1987.1937474078468,0.7461839860896458,0.5653957106305456,0.26470377851430255,1.6918752057245037,0.5463078079712068,0.7352962214856975,0.7490404036517728,0.4346042893694545,0.9151538788272531,0.3758070731664122,2019-09-19 14:00:00-03:00,2019-10-05 14:00:00-03:00,240.19830000000002,348.06420390257887,226/071
aq30m/LS8_AQM_221_073_20200918_0113.zip,353.90455900492515,951.7449600660432,99.57871691379465,3306.771764015237,0.7768837697411209,0.7289436760511772,0.21958630494599027,2.879156935668311,0.4023625277328762,0.7804136950540097,0.7765078731089474,0.27105632394882284,0.9707667436245033,0.25184845418147617,2020-09-02 14:00:00-03:00,2020-09-18 14:00:00-03:00,151506,380.81740345577214,221/073
aq30m/LS8_AQM_220_065_20170919_0105.zip,1480.9795441294068,2477.215575702211,756.0997188887085,9754.705161279675,0.7765349855144849,0.6258447349628363,0.3379852164328903,1.7693584600536192,0.47809974267779837,0.6620147835671096,0.7974794287038978,0.3741552650371637,0.9280645271690557,0.31414656800112484,2017-09-03 14:00:00-03:00,2017-09-19 14:00:00-03:00,783.0502024915204,1208.577929323895,220/065
aq30m/LS8_AQM_224_069_20210910_0109.zip,2981.011451217113,1592.5276067556485,702.3297890827796,2881.131152944459,0.7186640436633042,0.34820465870505596,0.19067736146694808,1.2416821466154437,0.7220672562834036,0.8093226385330519,0.644021215676628,0.651795341294944,0.8040079687081906,0.5650275883716884,2021-08-25 14:00:00-03:00,2021-09-10 14:00:00-03:00,1181.4687,1371.513239380999,224/069
aq30m/LS8_AQM_221_073_20210921_0113.zip,1028.5128689762757,2851.9284333395367,271.40703715452634,4454.151660529661,0.6370746606444267,0.7349495099017557,0.20878750750295574,2.9851387643304155,0.3970815267859231,0.7912124924970443,0.6096499905971884,0.2650504900982444,0.9425661483609266,0.24772409415790114,2021-09-05 14:00:00-03:00,2021-09-21 14:00:00-03:00,412.3134,1130.1381697215386,221/073
aq30m/LS8_AQM_221_067_20210719_0107.zip,382.8580814285949,541.8109499520009,266.8152535983594,2260.5157150210453,0.7657513894697683,0.5859512231560725,0.41069140322234327,1.4232830278346458,0.4863720745853121,0.5893085967776568,0.8066567482213169,0.4140487768439275,0.8944280519998092,0.3213286874659511,2021-07-03 14:00:00-03:00,2021-07-19 14:00:00-03:00,257.5674,280.12539763654996,221/067
aq30m/LS8_AQM_220_065_20210829_0105.zip,2836.3522179640886,3478.2358776105452,974.0986090078982,8019.313295417467,0.7091498244957901,0.5508254576491141,0.2556386772170934,1.6571761144054928,0.5602649510113088,0.7443613227829067,0.697480234677308,0.44917454235088594,0.8916875353470048,0.3891444828024809,2021-08-13 14:00:00-03:00,2021-08-29 14:00:00-03:00,1317.2877,1927.9704860481716,220/065
aq30m/LS8_AQM_221_070_20190916_0110.zip,2554.374540428408,2078.0562225231292,289.606261558333,3872.96297549013,0.7307944873130799,0.4485887277890157,0.10183129975983683,1.6288544422365385,0.6833156570479666,0.898168700240163,0.650806668004552,0.5514112722109844,0.9304260794077066,0.5189669496000529,2019-08-31 14:00:00-03:00,2019-09-16 14:00:00-03:00,882.1773000000001,1381.7307998785145,221/070
aq30m/LS8_AQM_221_067_20190916_0107.zip,2345.831001604187,1625.0968673204065,710.4551391923155,4409.616991883091,0.7430918483651169,0.4092486494247288,0.23245701039208422,1.2992657382170785,0.6676418274323457,0.7675429896079158,0.7307085463808722,0.5907513505752712,0.861241185474648,0.501097858803012,2019-08-31 14:00:00-03:00,2019-09-16 14:00:00-03:00,1006.0875000000001,1203.5783779255578,221/067
aq30m/LS8_AQM_226_071_20170913_0111.zip,911.628244260429,2231.029311184875,236.40134366023688,3943.941100894459,0.6630574006766199,0.7099180460560062,0.20591920813505485,2.7374360282275894,0.42493344949185574,0.7940807918649451,0.6386979754881761,0.2900819539439939,0.9434492875175399,0.26978761586598654,2017-08-28 14:00:00-03:00,2017-09-13 14:00:00-03:00,369.0820334003846,930.6393569573022,226/071
aq30m/LS8_AQM_221_070_20141020_0110.zip,1275.8655222703424,2635.4902814138118,938.9908020820221,7684.653394233823,0.7148399614283338,0.673804791405428,0.4239511122043494,1.765963670274574,0.4165267201347347,0.5760488877956507,0.7446265900703729,0.32619520859457196,0.89111438497391,0.2630462575094265,2014-10-04 14:00:00-03:00,2014-10-20 14:00:00-03:00,775.6402291605856,1166.926239920576,221/070
aq30m/LS8_AQM_220_065_20191011_0105.zip,642.2834850591328,1763.7314094278524,333.6562386718914,6363.328866841124,0.7695937989564162,0.7330509106444739,0.34188201438949667,2.4653314502752015,0.3798297479210761,0.6581179856105034,0.7829803951893959,0.266949089355526,0.9501781423409136,0.23443816934281872,2019-09-25 14:00:00-03:00,2019-10-11 14:00:00-03:00,389.05830000000003,734.6597929534557,220/065
aq30m/LS8_AQM_225_069_20180909_0109.zip,321.09240427439283,640.3367741669175,28.205618905537495,1147.3652026531522,0.6871584496619303,0.6660259419264196,0.0807494375397831,2.7524609778454403,0.4899454346827214,0.9192505624602169,0.6418101101471418,0.3339740580735804,0.9760068739472968,0.32445545077358084,2018-08-24 14:00:00-03:00,2018-09-09 14:00:00-03:00,111.10860000000001,288.31404199168077,225/069
aq30m/LS8_AQM_221_067_20210820_0107.zip,949.6757370307989,842.1273256034619,368.0299329927895,3059.167004372949,0.7681246869905629,0.46998877452826143,0.27929600772394136,1.35979005281368,0.6108204341455987,0.7207039922760586,0.7841415555004911,0.5300112254717385,0.8926148862412121,0.4396986891827188,2021-08-04 14:00:00-03:00,2021-08-20 14:00:00-03:00,469.00800000000004,542.9726760679105,221/067
aq30m/LS8_AQM_222_067_20160914_0107.zip,1357.6756559849011,1347.346724900114,1158.280344922517,6471.697274192467,0.7575590643616225,0.49809078639094145,0.46037384775598833,1.075146934171109,0.520084764464699,0.5396261522440116,0.8276839566248154,0.5019092136090585,0.848193480670148,0.3514287521180756,2016-08-29 14:00:00-03:00,2016-09-14 14:00:00-03:00,977.986519780854,819.8575985408102,222/067
aq30m/LS8_AQM_221_067_20170724_0107.zip,438.3369499557983,655.4338641932471,355.41068721071133,2926.8184986402434,0.7690026162239584,0.5992424150603938,0.4477628285980706,1.3779830804329036,0.46445845300244665,0.5522371714019295,0.8170330289977639,0.40075758493960617,0.8917166757450037,0.3024720847902832,2017-07-08 14:00:00-03:00,2017-07-24 14:00:00-03:00,339.05270711438743,331.2203418607303,221/067
aq30m/LS8_AQM_221_070_20191018_0110.zip,1365.8824438907425,1635.159981460471,525.6832332267828,4236.274341422004,0.7216484329914654,0.5448640004711387,0.2779090568125811,1.5865388453888483,0.5583453304594488,0.7220909431874188,0.7215058720681187,0.4551359995288612,0.8896077453471318,0.38729478165349474,2019-10-02 14:00:00-03:00,2019-10-18 14:00:00-03:00,649.6442999999999,894.982136426992,221/070
aq30m/LS8_AQM_220_074_20160815_0114.zip,652.62262308246,1527.0953184198656,247.63809556522267,5084.643962932452,0.7637468831223259,0.7005930856206775,0.2750737541200394,2.421207430639167,0.4237838602756257,0.7249262458799606,0.7690327380683522,0.29940691437932254,0.9535587028502027,0.2688615156229341,2016-07-30 14:00:00-03:00,2016-08-15 14:00:00-03:00,292.92764771101736,630.966120735808,220/074
aq30m/LS8_AQM_222_074_20201011_0114.zip,607.0586049017465,2275.3620377659254,102.19288978310362,4650.386467549224,0.6885979138770099,0.789392777752273,0.14408554729731257,4.064031819839098,0.33803675930688876,0.8559144527026874,0.6714633752554393,0.21060722224772702,0.978497383820548,0.2033960505443626,2020-09-25 14:00:00-03:00,2020-10-11 14:00:00-03:00,214.5582,831.8652330090854,222/074
aq30m/LS8_AQM_221_070_20170910_0110.zip,2018.1955769655692,1627.5904512936718,227.32581061422775,3911.888161126531,0.7617320151691843,0.4464306019820916,0.1012352017093177,1.6235810749451987,0.6851435291051227,0.8987647982906822,0.7061834578358313,0.5535693980179084,0.9450799566859247,0.5210785696166679,2017-08-25 14:00:00-03:00,2017-09-10 14:00:00-03:00,697.8990875079803,1087.9328339617673,221/070
aq30m/LS8_AQM_221_067_20210804_0107.zip,474.77114188521625,630.5007049716302,232.07777351182227,2315.6503796313314,0.763871207642088,0.5704485342358421,0.32832726832644804,1.5636606674794327,0.5239950358437525,0.6716727316735519,0.7859917272176828,0.4295514657641579,0.9089079526693199,0.3550089929021968,2021-07-19 14:00:00-03:00,2021-08-04 14:00:00-03:00,271.8405,334.968854033521,221/067
