,aqm30_file,TP,FP,FN,TN,ACC,CE,OE,B,DC,TPR,TNR,PPV,NPV,CSI,start_dt,end_dt,reference_area_km2,model_area_km2,orbita_ponto
0,aq30m/LS8_AQM_222_067_20190923_0107.zip,1030.7962021761039,1211.4106264982638,755.5543666402369,86989.2388046854,0.9781416760961194,0.5402760401075359,0.42295973692379824,1.2551885771000053,0.5117445777578654,0.5770402630762017,0.9862652867715737,0.45972395989246395,0.9913891828867272,0.3438553423759044,2019-09-07 10:00:00-03:00,2019-09-23 10:00:00-03:00,542.3733,679.297341064574,222/067
1,aq30m/LS8_AQM_220_074_20200927_0114.zip,1706.6592737344424,1730.0349133393852,706.375943807861,85655.92986911832,0.972868173842167,0.5034008902643802,0.29273337524153953,1.4242204846782673,0.5835002461439278,0.7072666247584606,0.9802023709683104,0.4965991097356198,0.9918207841122495,0.41193106074003333,2020-09-11 10:00:00-03:00,2020-09-27 10:00:00-03:00,698.9607000000001,993.6173384008061,220/074
2,aq30m/LS8_AQM_226_071_20191005_0111.zip,404.50095565728355,352.95326080358825,408.25898459088137,88733.28679894825,0.9915325838397037,0.46597306230959634,0.5023118935539874,0.9319531868531731,0.5152175630680399,0.49768810644601263,0.9960380720909664,0.5340269376904038,0.9954201042734636,0.3469986916956303,2019-09-19 10:00:00-03:00,2019-10-05 10:00:00-03:00,240.19830000000002,223.8557437138866,226/071
3,aq30m/LS8_AQM_221_073_20200918_0113.zip,222.31003099150857,292.014791123472,296.82986411660295,89026.8453137684,0.9934454834787052,0.5677633638653945,0.571772400683611,0.9907249027892023,0.4302227783621933,0.42822759931638893,0.996730648031328,0.43223663613460556,0.9966769183699005,0.2740661365396333,2020-09-02 10:00:00-03:00,2020-09-18 10:00:00-03:00,151.4925,149.97348894262842,221/073
4,aq30m/LS8_AQM_220_065_20170919_0105.zip,798.4604817244341,751.1880760617302,1766.263052488222,86701.0883897256,0.9720336033354816,0.4847473785507091,0.6886758081043799,0.604216609359375,0.3881323632722438,0.31132419189562016,0.9914103084971652,0.515252621449291,0.9800348600506942,0.24079667239934743,2017-09-03 10:00:00-03:00,2017-09-19 10:00:00-03:00,783.0502024915204,473.1101921934836,220/065
5,aq30m/LS8_AQM_224_069_20210910_0109.zip,2298.9734338163234,770.8054533072684,1642.9578813525893,85235.26323152382,0.9731649026697663,0.2510947796730466,0.41679008333563217,0.7787499684002106,0.6557525532257924,0.5832099166643678,0.9910377783208312,0.7489052203269535,0.9810889557784801,0.48782131206527685,2021-08-25 10:00:00-03:00,2021-09-10 10:00:00-03:00,1181.4470999999999,920.618155501675,224/069
6,aq30m/LS8_AQM_221_073_20210921_0113.zip,788.6413154452366,1497.1132644273416,625.5699437898761,86926.67547633755,0.9763721008012509,0.654975506824009,0.44234546974843103,1.6162751957644903,0.42629653880016943,0.557654530251569,0.9830688858083599,0.34502449317599104,0.9928548954879681,0.2708874634330094,2021-09-05 10:00:00-03:00,2021-09-21 10:00:00-03:00,412.3134,665.5857777412293,221/073
7,aq30m/LS8_AQM_221_067_20210719_0107.zip,171.77041537531548,116.11647934893669,678.3929862681109,89020.72011900764,0.9911708417258376,0.4033406225738653,0.7979559987606253,0.3386253679795511,0.30186788039782786,0.20204400123937474,0.9986973233089689,0.5966593774261347,0.9924370156762653,0.17776466089608364,2021-07-03 10:00:00-03:00,2021-07-19 10:00:00-03:00,257.5674,87.2391675787964,221/067
8,aq30m/LS8_AQM_220_065_20210829_0105.zip,1600.9998852024335,1213.665326281217,2716.7227736645355,84485.61201485181,0.9563372685165495,0.43119349375177607,0.6292027043667139,0.6518865230269927,0.44893797541712505,0.37079729563328606,0.9858380914759628,0.5688065062482238,0.9688457564782739,0.2894390864464993,2021-08-13 10:00:00-03:00,2021-08-29 10:00:00-03:00,1317.2688,859.3791234950925,220/065
9,aq30m/LS8_AQM_221_070_20190916_0110.zip,1936.5053894848938,885.8445180706728,1015.8094485532039,86087.84064389124,0.9788531240506209,0.3138677155866551,0.3440721956430094,0.9559786345250032,0.6706901525192563,0.6559278043569906,0.9898147983907885,0.686132284413345,0.988337923296267,0.5045401219214033,2019-08-31 10:00:00-03:00,2019-09-16 10:00:00-03:00,882.1773000000001,841.9997216350724,221/070
10,aq30m/LS8_AQM_221_067_20190916_0107.zip,1383.487847516309,515.1747095761018,1935.923221653116,86152.41422125447,0.9727616441127138,0.27133558180292666,0.5832128595442437,0.5719877766050498,0.5302676606759276,0.4167871404557562,0.9940557396838713,0.7286644181970733,0.9780229338201798,0.36079199354067204,2019-08-31 10:00:00-03:00,2019-09-16 10:00:00-03:00,1006.0875000000001,575.4446360318527,221/067
11,aq30m/LS8_AQM_226_071_20170913_0111.zip,678.5735507397358,1072.6730498586558,566.8218042542046,87580.93159514741,0.981762924458416,0.6125197042450384,0.45513402790631297,1.4061772380762674,0.4528893079624558,0.544865972093687,0.9879004011833028,0.38748029575496157,0.9935696398104906,0.29273232373955144,2017-08-28 10:00:00-03:00,2017-09-13 10:00:00-03:00,369.0820334003846,518.477999507242,226/071
12,aq30m/LS8_AQM_225_069_20180909_0109.zip,299.1724310807784,353.87623757392896,70.78541075233018,89224.16592059296,0.9952788094418301,0.5418834071018331,0.19133372170622118,1.7651975301264293,0.5848886160814741,0.8086662782937789,0.9960495202948386,0.45811659289816675,0.9992072854097913,0.4133163104531627,2018-08-24 10:00:00-03:00,2018-09-09 10:00:00-03:00,111.10860000000001,195.81110231574158,225/069
