aqm30_file,TP,FP,FN,TN,ACC,CE,OE,B,DC,TPR,TNR,PPV,NPV,CSI,start_dt,end_dt,reference_area_km2,model_area_km2,orbita_ponto
aq30m/LS8_AQM_222_067_20190923_0107.zip,1214.6346378323447,1927.1893177243464,469.8153822655144,5176.3606621777935,0.7272411583989687,0.6133982505021905,0.27891322191810725,1.865192744260922,0.5033425967773051,0.7210867780818927,0.7287005337926973,0.38660174949780945,0.9167905182963816,0.3363111662652233,2019-09-07 14:00:00-03:00,2019-09-23 14:00:00-03:00,542.3733,951.8618018568513,222/067
aq30m/LS8_AQM_220_074_20200927_0114.zip,1876.0467024155273,2569.196860387924,334.6543157868071,7648.102121409741,0.766346059207054,0.5779653744704208,0.1513792742805793,2.0107846000895084,0.5637206498891961,0.8486207257194206,0.7485444181515092,0.4220346255295793,0.958077849622538,0.39248677483645994,2020-09-11 14:00:00-03:00,2020-09-27 14:00:00-03:00,698.9607000000001,1285.2978354413376,220/074
aq30m/LS8_AQM_226_071_20191005_0111.zip,425.67273669710397,439.181679886817,270.34120578217437,2213.8043776339046,0.7881388815559894,0.5078099521322166,0.3884134918607941,1.242582028605942,0.5454306690572981,0.611586508139206,0.8344575997141715,0.4921900478677834,0.891173364561664,0.37497742971371895,2019-09-19 14:00:00-03:00,2019-10-05 14:00:00-03:00,240.19830000000002,255.57831460032284,226/071
aq30m/LS8_AQM_221_073_20200918_0113.zip,285.428263473689,595.821951422132,168.0550124450308,3662.694772659148,0.837886892218344,0.6761098509264686,0.37058701250793685,1.9432915428038235,0.42769326676519104,0.6294129874920632,0.8600869762814721,0.32389014907353136,0.9561299949428932,0.2720164314791617,2020-09-02 14:00:00-03:00,2020-09-18 14:00:00-03:00,151506,256.99691051063905,221/073
aq30m/LS8_AQM_220_065_20170919_0105.zip,1066.6930458165957,1530.4375813824345,1170.3862172015195,10701.483155599451,0.8133372175973492,0.5892801714917938,0.5231760164020804,1.1609470751139852,0.44131019134077415,0.4768239835979196,0.8748816629627657,0.4107198285082062,0.9014151705642136,0.28312893873373446,2017-09-03 14:00:00-03:00,2017-09-19 14:00:00-03:00,783.0502024915204,792.9611058517419,220/065
aq30m/LS8_AQM_224_069_20210910_0109.zip,2640.5929717332465,1216.9971759705288,1042.7482685666464,3256.6615837295785,0.7229685614150821,0.3154812018313933,0.2830984697148905,1.047307294121273,0.7003360290305726,0.7169015302851095,0.7279637895197643,0.6845187981686068,0.7574671165602562,0.5388593087705491,2021-08-25 14:00:00-03:00,2021-09-10 14:00:00-03:00,1181.4687,1156.868693414769,224/069
aq30m/LS8_AQM_221_073_20210921_0113.zip,918.0919216661044,2167.8773005678863,381.8279844646978,5138.202793301312,0.7037293417345359,0.7024947899507952,0.2937319312242896,2.373968740442898,0.4186571501447872,0.7062680687757104,0.7032776437275807,0.2975052100492047,0.9308286493614034,0.2647478693081132,2021-09-05 14:00:00-03:00,2021-09-21 14:00:00-03:00,412.3134,898.7023413812399,221/073
aq30m/LS8_AQM_221_067_20210719_0107.zip,253.65356637307107,318.7833716602189,396.0197686538832,2483.543293312827,0.7929307241268534,0.5568881923578456,0.6095675277136821,0.8811150268458227,0.4151074939218143,0.39043247228631794,0.886243322149138,0.44311180764215446,0.8624722709203646,0.2619152354685538,2021-07-03 14:00:00-03:00,2021-07-19 14:00:00-03:00,257.5674,173.4345558252163,221/067
aq30m/LS8_AQM_220_065_20210829_0105.zip,2151.4236003812484,2379.506229541731,1659.0272265907388,9118.042943486282,0.7361815092675418,0.5251695168234772,0.43538869858848206,1.1890797272205,0.515843524921234,0.5646113014115179,0.7930423089536516,0.47483048317652277,0.8460595319127553,0.34756680551075814,2021-08-13 14:00:00-03:00,2021-08-29 14:00:00-03:00,1317.2877,1383.3753092484128,220/065
aq30m/LS8_AQM_221_070_20190916_0110.zip,2291.3624524907677,1622.86402664613,552.618349495973,4328.155171367129,0.7526455513198291,0.41460657304734644,0.19431156114342485,1.3763195857027264,0.6780977135432873,0.8056884388565753,0.7272964558427368,0.5853934269526535,0.886776481815069,0.5129711329578613,2019-08-31 14:00:00-03:00,2019-09-16 14:00:00-03:00,882.1773000000001,1167.6020196496502,221/070
aq30m/LS8_AQM_221_067_20190916_0107.zip,1892.390500797432,1033.3068601949783,1163.8956399990702,5001.406999008519,0.7583101418772358,0.3531830988303164,0.38082024600476255,0.9572720701569982,0.632696663316277,0.6191797539952375,0.8287728491684673,0.6468169011696836,0.8112184091928991,0.46273321094266373,2019-08-31 14:00:00-03:00,2019-09-16 14:00:00-03:00,1006.0875000000001,886.7473264796823,221/067
aq30m/LS8_AQM_226_071_20170913_0111.zip,795.2387805166077,1640.5094260361848,352.7908074040582,4534.46098604315,0.72780278117708,0.6735135518617197,0.3073011454722521,2.1216772042996452,0.44379915615468396,0.6926988545277478,0.7343291843428014,0.32648644813828037,0.9278140717290079,0.28518115634616437,2017-08-28 14:00:00-03:00,2017-09-13 14:00:00-03:00,369.0820334003846,721.1935177082474,226/071
aq30m/LS8_AQM_221_070_20141020_0110.zip,859.2315078834772,1687.945447413476,1355.6248164688873,8632.19822823416,0.7571942350313232,0.6626730207743627,0.6120599343459803,1.1500416199871388,0.360867493957015,0.3879400656540198,0.836441671699154,0.33732697922563726,0.8642722432704861,0.22015760936141884,2014-10-04 14:00:00-03:00,2014-10-20 14:00:00-03:00,775.6402291605856,759.9699416546481,221/070
