,aqm30_file,TP,FP,FN,TN,ACC,CE,OE,B,DC,TPR,TNR,PPV,NPV,CSI,start_dt,end_dt,reference_area_km2,model_area_km2,orbita_ponto
0,aq30m/LS8_AQM_222_067_20190923_0107.zip,1067.9167623853582,1319.5500013201292,718.4338064309825,86881.09942986352,0.9773524641586995,0.5526987941277604,0.4021796275447916,1.3365051661093903,0.5117218494754399,0.5978203724552084,0.9850392257899454,0.44730120587223976,0.9917986571401807,0.34383481965053225,2019-09-07 14:00:00-03:00,2019-09-23 14:00:00-03:00,542.3733,723.3031826176677,222/067
1,aq30m/LS8_AQM_220_074_20200927_0114.zip,1734.2194298671134,1843.285789527777,678.8157876751898,85542.67899292991,0.9719139235714989,0.5152433543729549,0.28131201017719476,1.4825748059485886,0.5789859690034158,0.7186879898228052,0.9789063862358616,0.4847566456270452,0.992127070060633,0.40744563837794184,2020-09-11 14:00:00-03:00,2020-09-27 14:00:00-03:00,698.9607000000001,1034.35275884458,220/074
2,aq30m/LS8_AQM_226_071_20191005_0111.zip,424.99047260730663,386.6609005870722,387.7694676408583,88699.57915916477,0.9913855508044812,0.476387909091201,0.4771020918211819,0.9986360461448831,0.5232547558495427,0.5228979081788181,0.9956597012027028,0.523612090908799,0.9956473116147473,0.35432973826881087,2019-09-19 14:00:00-03:00,2019-10-05 14:00:00-03:00,240.19830000000002,239.86419295035452,226/071
3,aq30m/LS8_AQM_221_073_20200918_0113.zip,330.6380655697923,754.3858107705903,188.53396373612483,88564.44215992349,0.9895042212147785,0.6952711615112256,0.3631435306485531,2.0899120428173967,0.4122165683206685,0.6368564693514468,0.9915540113108279,0.3047288384887743,0.9978757448823639,0.25961762800653765,2020-09-02 14:00:00-03:00,2020-09-18 14:00:00-03:00,151.506,316.45747163688435,221/073
4,aq30m/LS8_AQM_220_065_20170919_0105.zip,1230.4816250493213,1715.2305435330766,1334.2419091633346,85737.04592225427,0.9661233716665029,0.582280428423025,0.5202283565323673,1.1485495919101867,0.4466004836696253,0.47977164346763274,0.9803866678736018,0.4177195715769751,0.984676442230341,0.28749879150512303,2017-09-03 14:00:00-03:00,2017-09-19 14:00:00-03:00,783.0502024915204,899.4014171274507,220/065
5,aq30m/LS8_AQM_224_069_20210910_0109.zip,2265.2452333127717,758.5085544085885,1676.7583360350418,85247.48787624361,0.9729258361448434,0.2508499724708688,0.4253568791954325,0.7670601344030813,0.6503945277433173,0.5746431208045675,0.9911807480188874,0.7491500275291313,0.9807101193383926,0.48191456030167773,2021-08-25 14:00:00-03:00,2021-09-10 14:00:00-03:00,1181.4687,906.8319714339659,224/069
6,aq30m/LS8_AQM_221_073_20210921_0113.zip,808.5273191870573,1580.0851658866989,605.6839400480555,86843.70357487818,0.9756698823890252,0.6615075386905669,0.4282839187517461,1.6890068364790534,0.4252247138180212,0.571716081248254,0.9821305421494764,0.3384924613094331,0.9930738915701991,0.2700224708561262,2021-09-05 14:00:00-03:00,2021-09-21 14:00:00-03:00,412.3134,695.564078937913,221/073
7,aq30m/LS8_AQM_221_067_20210719_0107.zip,343.75085334815464,351.25174910644637,506.4125482952719,88785.58484925012,0.9904690199984252,0.5053963076769786,0.5956649596022838,0.817492967953115,0.4449371167065188,0.4043350403977161,0.9960594097512214,0.4946036923230214,0.9943285785618545,0.28612162343183356,2021-07-03 14:00:00-03:00,2021-07-19 14:00:00-03:00,257.5674,210.56294611661323,221/067
8,aq30m/LS8_AQM_220_065_20210829_0105.zip,1981.080863485614,1883.5991057673548,2336.7038409592024,83815.61618978783,0.9531166007895557,0.4873881202979529,0.541181184544415,0.8950608318368879,0.4842259496343984,0.458818815455585,0.9780208126845585,0.5126118797020471,0.9728770642493986,0.3194578700681702,2021-08-13 14:00:00-03:00,2021-08-29 14:00:00-03:00,1317.2877,1179.960114736996,220/065
9,aq30m/LS8_AQM_221_070_20190916_0110.zip,1956.7219063041107,913.9593475321858,995.5929317339868,86059.72581442972,0.9787652928044596,0.31837716093028323,0.33722451240857104,0.9723492958305053,0.6720670511988104,0.6627754875914289,0.9894915416561892,0.6816228390697168,0.988563674844073,0.5061001399246314,2019-08-31 14:00:00-03:00,2019-09-16 14:00:00-03:00,882.1773000000001,856.4106150525629,221/070
10,aq30m/LS8_AQM_221_067_20190916_0107.zip,1562.1269595593951,621.3030730266457,1757.2841096100296,86046.28585780394,0.9735674354891631,0.28455369018203813,0.5293963516394892,0.6577763305261175,0.5677528864357212,0.4706036483605108,0.9928311946750646,0.7154463098179619,0.9799861883718145,0.39640707323390306,2019-08-31 14:00:00-03:00,2019-09-16 14:00:00-03:00,1006.0875000000001,661.7566991890413,221/067
11,aq30m/LS8_AQM_226_071_20170913_0111.zip,719.9292796469774,1210.256547397003,525.4660753469628,87443.34809760907,0.9806925258040249,0.6270155600771732,0.4219271199622546,1.5498578979792104,0.45341576132213046,0.5780728800377455,0.9863484789790194,0.37298443992282687,0.9940266777461176,0.2931723665500061,2017-08-28 14:00:00-03:00,2017-09-13 14:00:00-03:00,369.0820334003846,571.4688077564304,226/071
12,aq30m/LS8_AQM_221_070_20141020_0110.zip,866.5460586007028,1681.3993445657384,1732.7240528489237,85645.33054398464,0.96203407916048,0.659903992635082,0.6666194656786071,0.9802541844123459,0.33670478966348033,0.3333805343213928,0.9807458799074281,0.34009600736491796,0.9801698028086825,0.20243236893308786,2014-10-04 14:00:00-03:00,2014-10-20 14:00:00-03:00,775.6402291605856,760.2011184576357,221/070
