start,end,state
2013-11-10 00:00:00,2013-12-10 23:59:59,OK
2013-10-11 00:00:00,2013-11-10 23:59:59,OK
2013-09-11 00:00:00,2013-10-11 23:59:59,OK
2013-08-12 00:00:00,2013-09-11 23:59:59,OK
2013-07-13 00:00:00,2013-08-12 23:59:59,OK
2013-06-13 00:00:00,2013-07-13 23:59:59,OK
2013-05-14 00:00:00,2013-06-13 23:59:59,OK
2013-04-14 00:00:00,2013-05-14 23:59:59,OK
2013-03-15 00:00:00,2013-04-14 23:59:59,OK
2013-02-13 00:00:00,2013-03-15 23:59:59,OK
2013-01-14 00:00:00,2013-02-13 23:59:59,OK
2012-12-15 00:00:00,2013-01-14 23:59:59,OK
2012-11-15 00:00:00,2012-12-15 23:59:59,OK
2012-10-16 00:00:00,2012-11-15 23:59:59,OK
2012-09-16 00:00:00,2012-10-16 23:59:59,OK
2012-08-17 00:00:00,2012-09-16 23:59:59,OK
2012-07-18 00:00:00,2012-08-17 23:59:59,OK
2012-06-18 00:00:00,2012-07-18 23:59:59,OK
2012-05-19 00:00:00,2012-06-18 23:59:59,OK
2012-04-19 00:00:00,2012-05-19 23:59:59,OK
2012-03-20 00:00:00,2012-04-19 23:59:59,OK
2012-02-19 00:00:00,2012-03-20 23:59:59,OK
2012-01-20 00:00:00,2012-02-19 23:59:59,OK
2011-12-21 00:00:00,2012-01-20 23:59:59,OK
2011-11-21 00:00:00,2011-12-21 23:59:59,OK
2011-10-22 00:00:00,2011-11-21 23:59:59,OK
2011-09-22 00:00:00,2011-10-22 23:59:59,OK
2011-08-23 00:00:00,2011-09-22 23:59:59,OK
2011-07-24 00:00:00,2011-08-23 23:59:59,OK
2011-06-24 00:00:00,2011-07-24 23:59:59,OK
2011-05-25 00:00:00,2011-06-24 23:59:59,OK
2011-04-25 00:00:00,2011-05-25 23:59:59,OK
2011-03-26 00:00:00,2011-04-25 23:59:59,OK
2011-02-24 00:00:00,2011-03-26 23:59:59,OK
2011-01-25 00:00:00,2011-02-24 23:59:59,OK
2010-12-26 00:00:00,2011-01-25 23:59:59,OK
2010-11-26 00:00:00,2010-12-26 23:59:59,OK
2010-10-27 00:00:00,2010-11-26 23:59:59,OK
2010-09-27 00:00:00,2010-10-27 23:59:59,OK
2010-08-28 00:00:00,2010-09-27 23:59:59,OK
2010-07-29 00:00:00,2010-08-28 23:59:59,OK
2010-06-29 00:00:00,2010-07-29 23:59:59,OK
2010-05-30 00:00:00,2010-06-29 23:59:59,OK
2010-04-30 00:00:00,2010-05-30 23:59:59,OK
2010-03-31 00:00:00,2010-04-30 23:59:59,OK
